Date_Complete,Annee,Mois,Jour,Heure,ID_Temps
2006-04-12 17:00:00,2006,4,12,17,0
2006-04-18 20:00:00,2006,4,18,20,1
2006-04-19 14:00:00,2006,4,19,14,2
2006-04-02 15:00:00,2006,4,2,15,3
2006-04-04 01:00:00,2006,4,4,1,4
2006-08-05 13:00:00,2006,8,5,13,5
2006-12-13 18:00:00,2006,12,13,18,6
2006-12-16 02:00:00,2006,12,16,2,7
2006-12-16 22:00:00,2006,12,16,22,8
2006-12-18 08:00:00,2006,12,18,8,9
2006-12-18 13:00:00,2006,12,18,13,10
2006-12-21 00:00:00,2006,12,21,0,11
2006-12-05 18:00:00,2006,12,5,18,12
2006-12-06 00:00:00,2006,12,6,0,13
2006-12-09 16:00:00,2006,12,9,16,14
2006-02-10 04:00:00,2006,2,10,4,15
2006-02-24 01:00:00,2006,2,24,1,16
2006-02-24 09:00:00,2006,2,24,9,17
2006-02-26 13:00:00,2006,2,26,13,18
2006-02-07 06:00:00,2006,2,7,6,19
2006-01-12 23:00:00,2006,1,12,23,20
2006-01-04 18:00:00,2006,1,4,18,21
2006-07-11 09:00:00,2006,7,11,9,22
2006-07-19 11:00:00,2006,7,19,11,23
2006-07-25 16:00:00,2006,7,25,16,24
2006-07-28 02:00:00,2006,7,28,2,25
2006-07-28 16:00:00,2006,7,28,16,26
2006-07-30 17:00:00,2006,7,30,17,27
2006-07-06 19:00:00,2006,7,6,19,28
2006-06-01 21:00:00,2006,6,1,21,29
2006-03-12 00:00:00,2006,3,12,0,30
2006-03-21 20:00:00,2006,3,21,20,31
2006-03-29 23:00:00,2006,3,29,23,32
2006-03-30 12:00:00,2006,3,30,12,33
2006-03-04 18:00:00,2006,3,4,18,34
2006-05-20 14:00:00,2006,5,20,14,35
2006-05-21 13:00:00,2006,5,21,13,36
2006-05-21 20:00:00,2006,5,21,20,37
2006-05-23 06:00:00,2006,5,23,6,38
2006-05-25 00:00:00,2006,5,25,0,39
2006-05-28 13:00:00,2006,5,28,13,40
2006-05-06 00:00:00,2006,5,6,0,41
2006-11-01 14:00:00,2006,11,1,14,42
2006-11-17 11:00:00,2006,11,17,11,43
2006-11-26 00:00:00,2006,11,26,0,44
2006-11-05 11:00:00,2006,11,5,11,45
2006-10-19 06:00:00,2006,10,19,6,46
2006-10-21 21:00:00,2006,10,21,21,47
2006-10-26 06:00:00,2006,10,26,6,48
2006-09-20 13:00:00,2006,9,20,13,49
2006-09-23 17:00:00,2006,9,23,17,50
2006-09-24 16:00:00,2006,9,24,16,51
2006-09-30 06:00:00,2006,9,30,6,52
2006-09-04 01:00:00,2006,9,4,1,53
2006-09-08 23:00:00,2006,9,8,23,54
2007-04-02 21:00:00,2007,4,2,21,55
2007-04-28 06:00:00,2007,4,28,6,56
2007-04-30 01:00:00,2007,4,30,1,57
2007-08-17 22:00:00,2007,8,17,22,58
2007-08-19 14:00:00,2007,8,19,14,59
2007-08-20 05:00:00,2007,8,20,5,60
2007-08-28 04:00:00,2007,8,28,4,61
2007-08-29 16:00:00,2007,8,29,16,62
2007-08-04 05:00:00,2007,8,4,5,63
2007-12-13 06:00:00,2007,12,13,6,64
2007-12-14 11:00:00,2007,12,14,11,65
2007-12-26 00:00:00,2007,12,26,0,66
2007-12-31 11:00:00,2007,12,31,11,67
2007-12-06 09:00:00,2007,12,6,9,68
2007-12-09 10:00:00,2007,12,9,10,69
2007-02-11 22:00:00,2007,2,11,22,70
2007-02-14 14:00:00,2007,2,14,14,71
2007-02-28 10:00:00,2007,2,28,10,72
2007-02-03 07:00:00,2007,2,3,7,73
2007-07-10 20:00:00,2007,7,10,20,74
2007-07-13 07:00:00,2007,7,13,7,75
2007-07-16 11:00:00,2007,7,16,11,76
2007-07-02 21:00:00,2007,7,2,21,77
2007-07-24 00:00:00,2007,7,24,0,78
2007-07-07 09:00:00,2007,7,7,9,79
2007-06-25 05:00:00,2007,6,25,5,80
2007-03-11 15:00:00,2007,3,11,15,81
2007-03-17 00:00:00,2007,3,17,0,82
2007-03-17 20:00:00,2007,3,17,20,83
2007-03-06 07:00:00,2007,3,6,7,84
2007-03-06 13:00:00,2007,3,6,13,85
2007-05-11 23:00:00,2007,5,11,23,86
2007-05-27 20:00:00,2007,5,27,20,87
2007-11-28 08:00:00,2007,11,28,8,88
2007-10-01 00:00:00,2007,10,1,0,89
2007-10-11 11:00:00,2007,10,11,11,90
2007-10-20 11:00:00,2007,10,20,11,91
2007-10-27 22:00:00,2007,10,27,22,92
2007-09-12 10:00:00,2007,9,12,10,93
2008-04-16 21:00:00,2008,4,16,21,94
2008-04-03 06:00:00,2008,4,3,6,95
2008-08-22 08:00:00,2008,8,22,8,96
2008-08-24 09:00:00,2008,8,24,9,97
2008-08-26 06:00:00,2008,8,26,6,98
2008-12-16 23:00:00,2008,12,16,23,99
2008-12-24 11:00:00,2008,12,24,11,100
2008-12-04 15:00:00,2008,12,4,15,101
2008-02-18 21:00:00,2008,2,18,21,102
2008-01-16 18:00:00,2008,1,16,18,103
2008-01-22 16:00:00,2008,1,22,16,104
2008-01-29 01:00:00,2008,1,29,1,105
2008-01-07 10:00:00,2008,1,7,10,106
2008-07-21 08:00:00,2008,7,21,8,107
2008-07-29 12:00:00,2008,7,29,12,108
2008-06-16 16:00:00,2008,6,16,16,109
2008-06-23 21:00:00,2008,6,23,21,110
2008-03-13 06:00:00,2008,3,13,6,111
2008-03-13 11:00:00,2008,3,13,11,112
2008-03-18 07:00:00,2008,3,18,7,113
2008-03-06 03:00:00,2008,3,6,3,114
2008-03-07 23:00:00,2008,3,7,23,115
2008-03-08 00:00:00,2008,3,8,0,116
2008-03-08 23:00:00,2008,3,8,23,117
2008-05-11 23:00:00,2008,5,11,23,118
2008-05-03 09:00:00,2008,5,3,9,119
2008-11-25 05:00:00,2008,11,25,5,120
2008-11-29 18:00:00,2008,11,29,18,121
2008-11-04 19:00:00,2008,11,4,19,122
2008-10-23 11:00:00,2008,10,23,11,123
2008-09-22 02:00:00,2008,9,22,2,124
2009-04-01 15:00:00,2009,4,1,15,125
2009-04-20 04:00:00,2009,4,20,4,126
2009-04-27 10:00:00,2009,4,27,10,127
2009-08-20 23:00:00,2009,8,20,23,128
2009-12-13 23:00:00,2009,12,13,23,129
2009-12-15 16:00:00,2009,12,15,16,130
2009-12-19 13:00:00,2009,12,19,13,131
2009-12-02 07:00:00,2009,12,2,7,132
2009-12-04 10:00:00,2009,12,4,10,133
2009-02-10 03:00:00,2009,2,10,3,134
2009-02-13 03:00:00,2009,2,13,3,135
2009-02-18 09:00:00,2009,2,18,9,136
2009-02-24 11:00:00,2009,2,24,11,137
2009-01-11 04:00:00,2009,1,11,4,138
2009-07-13 17:00:00,2009,7,13,17,139
2009-06-10 00:00:00,2009,6,10,0,140
2009-06-11 16:00:00,2009,6,11,16,141
2009-06-13 16:00:00,2009,6,13,16,142
2009-06-21 22:00:00,2009,6,21,22,143
2009-06-28 23:00:00,2009,6,28,23,144
2009-03-01 13:00:00,2009,3,1,13,145
2009-03-11 08:00:00,2009,3,11,8,146
2009-03-17 14:00:00,2009,3,17,14,147
2009-03-18 08:00:00,2009,3,18,8,148
2009-03-19 21:00:00,2009,3,19,21,149
2009-03-27 16:00:00,2009,3,27,16,150
2009-03-08 03:00:00,2009,3,8,3,151
2009-03-09 11:00:00,2009,3,9,11,152
2009-05-26 20:00:00,2009,5,26,20,153
2009-05-05 17:00:00,2009,5,5,17,154
2009-05-07 12:00:00,2009,5,7,12,155
2009-11-11 02:00:00,2009,11,11,2,156
2009-11-16 15:00:00,2009,11,16,15,157
2009-11-26 11:00:00,2009,11,26,11,158
2009-11-03 01:00:00,2009,11,3,1,159
2009-11-08 02:00:00,2009,11,8,2,160
2009-10-12 11:00:00,2009,10,12,11,161
2009-10-15 00:00:00,2009,10,15,0,162
2009-10-25 02:00:00,2009,10,25,2,163
2009-10-05 16:00:00,2009,10,5,16,164
2009-09-15 20:00:00,2009,9,15,20,165
2009-09-08 17:00:00,2009,9,8,17,166
2010-04-19 00:00:00,2010,4,19,0,167
2010-08-13 10:00:00,2010,8,13,10,168
2010-08-15 17:00:00,2010,8,15,17,169
2010-08-21 00:00:00,2010,8,21,0,170
2010-12-19 15:00:00,2010,12,19,15,171
2010-12-27 03:00:00,2010,12,27,3,172
2010-12-29 19:00:00,2010,12,29,19,173
2010-12-30 15:00:00,2010,12,30,15,174
2010-12-31 05:00:00,2010,12,31,5,175
2010-12-09 10:00:00,2010,12,9,10,176
2010-02-15 10:00:00,2010,2,15,10,177
2010-02-19 06:00:00,2010,2,19,6,178
2010-02-03 15:00:00,2010,2,3,15,179
2010-02-09 12:00:00,2010,2,9,12,180
2010-01-01 03:00:00,2010,1,1,3,181
2010-01-16 10:00:00,2010,1,16,10,182
2010-01-21 09:00:00,2010,1,21,9,183
2010-01-08 01:00:00,2010,1,8,1,184
2010-07-20 12:00:00,2010,7,20,12,185
2010-07-22 21:00:00,2010,7,22,21,186
2010-06-20 17:00:00,2010,6,20,17,187
2010-06-08 09:00:00,2010,6,8,9,188
2010-03-19 01:00:00,2010,3,19,1,189
2010-03-19 21:00:00,2010,3,19,21,190
2010-03-25 00:00:00,2010,3,25,0,191
2010-05-11 23:00:00,2010,5,11,23,192
2010-05-21 10:00:00,2010,5,21,10,193
2010-05-03 00:00:00,2010,5,3,0,194
2010-11-12 07:00:00,2010,11,12,7,195
2010-11-18 22:00:00,2010,11,18,22,196
2010-11-19 12:00:00,2010,11,19,12,197
2010-11-02 00:00:00,2010,11,2,0,198
2010-11-22 14:00:00,2010,11,22,14,199
2010-11-25 11:00:00,2010,11,25,11,200
2010-11-25 17:00:00,2010,11,25,17,201
2010-10-01 17:00:00,2010,10,1,17,202
2010-10-01 23:00:00,2010,10,1,23,203
2010-10-22 00:00:00,2010,10,22,0,204
2010-10-29 09:00:00,2010,10,29,9,205
2010-10-05 12:00:00,2010,10,5,12,206
2010-09-23 10:00:00,2010,9,23,10,207
2010-09-24 02:00:00,2010,9,24,2,208
2010-09-24 18:00:00,2010,9,24,18,209
2010-09-25 19:00:00,2010,9,25,19,210
2010-09-27 09:00:00,2010,9,27,9,211
2010-09-04 10:00:00,2010,9,4,10,212
2011-04-13 07:00:00,2011,4,13,7,213
2011-04-20 01:00:00,2011,4,20,1,214
2011-08-17 14:00:00,2011,8,17,14,215
2011-08-28 06:00:00,2011,8,28,6,216
2011-08-28 19:00:00,2011,8,28,19,217
2011-08-03 12:00:00,2011,8,3,12,218
2011-08-05 18:00:00,2011,8,5,18,219
2011-08-07 07:00:00,2011,8,7,7,220
2011-12-12 01:00:00,2011,12,12,1,221
2011-12-13 10:00:00,2011,12,13,10,222
2011-12-19 08:00:00,2011,12,19,8,223
2011-12-28 03:00:00,2011,12,28,3,224
2011-12-04 00:00:00,2011,12,4,0,225
2011-12-04 03:00:00,2011,12,4,3,226
2011-02-11 19:00:00,2011,2,11,19,227
2011-02-13 02:00:00,2011,2,13,2,228
2011-02-18 09:00:00,2011,2,18,9,229
2011-02-22 21:00:00,2011,2,22,21,230
2011-02-23 20:00:00,2011,2,23,20,231
2011-01-10 05:00:00,2011,1,10,5,232
2011-01-21 02:00:00,2011,1,21,2,233
2011-01-24 18:00:00,2011,1,24,18,234
2011-01-04 18:00:00,2011,1,4,18,235
2011-01-09 10:00:00,2011,1,9,10,236
2011-07-12 02:00:00,2011,7,12,2,237
2011-07-18 06:00:00,2011,7,18,6,238
2011-07-24 10:00:00,2011,7,24,10,239
2011-06-14 20:00:00,2011,6,14,20,240
2011-06-19 18:00:00,2011,6,19,18,241
2011-06-28 14:00:00,2011,6,28,14,242
2011-06-02 22:00:00,2011,6,2,22,243
2011-06-07 22:00:00,2011,6,7,22,244
2011-06-08 05:00:00,2011,6,8,5,245
2011-03-01 13:00:00,2011,3,1,13,246
