ID_Temps,ID_Condition,Temperature,Humidite,Vitesse_Vent
18388,12,12.17,0.82,9.9
52769,9,11.53,0.96,3.16
2770,9,13.64,0.9,2.7
9652,9,17.07,0.73,9.32
40106,12,24.95,0.5,10.8
14744,12,14.46,0.83,6.34
44175,9,25.91,0.4,4.33
21069,13,3.09,0.87,8.21
29486,13,1.08,0.93,17.39
28547,12,2.32,0.84,11.0
21074,35,6.28,0.76,13.3
59111,35,2.73,0.89,3.74
37651,11,-2.85,0.73,6.07
5471,33,-2.68,0.48,23.88
7064,33,-3.94,0.92,4.56
25859,9,0.14,0.81,4.91
31830,35,2.31,0.92,19.43
18109,33,-8.94,0.77,0.6
50417,9,17.22,0.97,3.22
19310,15,16.06,0.81,3.24
37328,15,28.72,0.37,12.22
39190,12,21.71,0.87,3.22
21684,9,21.29,0.76,13.17
7070,12,12.43,0.92,5.54
53398,12,27.82,0.66,3.64
45070,12,29.76,0.47,21.59
12405,12,12.83,0.69,23.68
6441,35,3.89,0.89,17.29
37335,9,1.81,0.92,6.21
59122,33,-0.21,0.66,19.87
57330,35,9.4,0.71,6.05
48607,12,17.19,0.34,15.97
58214,23,-2.22,0.67,12.94
54302,23,-1.26,0.64,13.43
59687,35,10.9,0.89,6.26
17526,9,15.83,0.87,20.35
39511,25,9.95,0.58,34.63
18740,9,12.89,0.68,15.73
36423,9,11.16,0.77,11.01
57640,23,-0.07,0.57,21.91
54594,15,6.77,0.88,14.18
22011,15,3.16,0.92,6.18
10585,13,1.02,0.92,7.81
49837,9,12.15,0.74,6.47
35216,15,8.41,0.99,3.75
3109,35,16.08,0.99,4.81
21714,9,19.02,0.43,12.27
7359,15,7.71,0.76,4.85
4044,12,5.62,0.65,6.49
36438,12,17.57,0.74,8.48
41270,12,30.88,0.3,10.51
7099,24,-4.03,0.92,4.89
27715,11,-3.96,0.86,8.37
37364,24,-1.19,0.92,5.02
59713,12,2.31,0.69,3.17
25893,9,2.92,0.95,11.25
46285,12,12.36,0.72,11.32
48636,13,4.01,0.92,7.7
40434,35,3.87,0.89,11.16
9128,33,-1.16,0.83,15.38
33414,9,2.65,0.83,13.78
49208,35,3.4,0.82,10.96
38002,12,17.11,0.75,17.52
31262,12,28.98,0.31,9.31
13345,12,19.93,0.7,6.25
32539,12,27.24,0.34,20.54
39844,12,23.29,0.48,11.25
47497,9,20.12,0.85,3.96
31265,15,18.29,0.81,3.33
35575,9,8.31,0.63,6.47
52217,9,8.92,0.58,17.58
53160,9,17.43,0.86,2.9
13362,12,16.12,0.62,13.72
57678,35,13.36,0.95,12.51
46309,35,7.24,0.71,25.44
31277,12,5.96,0.77,9.45
39565,15,9.99,0.61,1.64
54351,35,11.06,0.86,16.53
15501,35,11.11,0.81,7.62
19076,13,11.11,0.86,7.68
29849,9,13.46,0.63,11.43
56779,15,11.07,0.72,11.04
17570,12,11.12,0.66,11.32
30721,12,17.36,0.66,28.08
4669,12,17.22,0.48,9.58
4670,9,17.13,0.59,15.55
53171,12,19.01,0.33,17.23
43069,12,27.15,0.32,1.38
17308,12,23.63,0.47,9.61
46934,12,11.1,0.71,20.48
28317,15,2.31,0.75,23.12
39255,35,7.76,0.89,4.8
35923,9,4.31,0.73,14.12
32574,24,-5.93,0.92,13.41
46959,9,26.61,0.61,7.79
55586,35,12.36,0.73,26.13
24470,9,9.06,0.71,14.3
36205,12,5.57,0.62,20.25
46963,9,10.08,0.66,27.02
23570,9,3.82,0.62,7.5
34393,12,11.21,0.43,20.51
55909,15,2.62,0.82,12.35
28963,12,9.91,0.8,3.22
57134,35,7.21,0.79,4.81
22403,35,2.24,0.92,20.4
37137,9,17.79,0.66,20.14
36835,12,12.11,0.86,1.69
58638,9,6.88,0.92,4.23
20880,12,19.04,0.61,20.67
